Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/shakehand_in[95:0],Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/din_valid[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,ffffffff00000000ffffffff,00000
1,1,0,000000000000000000000000,00000
2,2,0,000000000000000000000000,00000
3,3,0,ffffffff00000000ffffffff,00000
4,4,0,000000000000000000000000,00000
5,5,0,000000000000000000000000,00000
6,6,0,ffffffff00000000ffffffff,00000
7,7,0,ffffffff00000000ffffffff,00000
8,8,0,ffffffff00000000ffffffff,00000
9,9,0,ffffffff00000000ffffffff,00000
10,10,0,000000000000000000000000,3ffff
11,11,0,000000000000000000000000,00000
12,12,0,ffffffff00000000ffffffff,00000
13,13,0,000000000000000000000000,00000
14,14,0,000000000000000000000000,00000
15,15,0,ffffffff00000000ffffffff,00000
16,16,0,000000000000000000000000,00000
17,17,0,000000000000000000000000,00000
18,18,0,ffffffff00000000ffffffff,00000
19,19,0,ffffffff00000000ffffffff,00000
20,20,0,ffffffff00000000ffffffff,00000
21,21,0,ffffffff00000000ffffffff,00000
22,22,0,000000000000000000000000,3ffff
23,23,0,000000000000000000000000,00000
24,24,0,ffffffff00000000ffffffff,00000
25,25,0,000000000000000000000000,00000
26,26,0,000000000000000000000000,00000
27,27,0,ffffffff00000000ffffffff,00000
28,28,0,000000000000000000000000,00000
29,29,0,000000000000000000000000,00000
30,30,0,ffffffff00000000ffffffff,00000
31,31,0,ffffffff00000000ffffffff,00000
32,32,0,ffffffff00000000ffffffff,00000
33,33,0,ffffffff00000000ffffffff,00000
34,34,0,000000000000000000000000,3ffff
35,35,0,000000000000000000000000,00000
36,36,0,ffffffff00000000ffffffff,00000
37,37,0,000000000000000000000000,00000
38,38,0,000000000000000000000000,00000
39,39,0,ffffffff00000000ffffffff,00000
40,40,0,000000000000000000000000,00000
41,41,0,000000000000000000000000,00000
42,42,0,ffffffff00000000ffffffff,00000
43,43,0,ffffffff00000000ffffffff,00000
44,44,0,ffffffff00000000ffffffff,00000
45,45,0,ffffffff00000000ffffffff,00000
46,46,0,000000000000000000000000,3ffff
47,47,0,000000000000000000000000,00000
48,48,0,ffffffff00000000ffffffff,00000
49,49,0,000000000000000000000000,00000
50,50,0,000000000000000000000000,00000
51,51,0,ffffffff00000000ffffffff,00000
52,52,0,000000000000000000000000,00000
53,53,0,000000000000000000000000,00000
54,54,0,ffffffff00000000ffffffff,00000
55,55,0,ffffffff00000000ffffffff,00000
56,56,0,ffffffff00000000ffffffff,00000
57,57,0,ffffffff00000000ffffffff,00000
58,58,0,000000000000000000000000,3ffff
59,59,0,000000000000000000000000,00000
60,60,0,ffffffff00000000ffffffff,00000
61,61,0,000000000000000000000000,00000
62,62,0,000000000000000000000000,00000
63,63,0,ffffffff00000000ffffffff,00000
64,64,0,000000000000000000000000,00000
65,65,0,000000000000000000000000,00000
66,66,0,ffffffff00000000ffffffff,00000
67,67,0,ffffffff00000000ffffffff,00000
68,68,0,ffffffff00000000ffffffff,00000
69,69,0,ffffffff00000000ffffffff,00000
70,70,0,000000000000000000000000,3ffff
71,71,0,000000000000000000000000,00000
72,72,0,ffffffff00000000ffffffff,00000
73,73,0,000000000000000000000000,00000
74,74,0,000000000000000000000000,00000
75,75,0,ffffffff00000000ffffffff,00000
76,76,0,000000000000000000000000,00000
77,77,0,000000000000000000000000,00000
78,78,0,ffffffff00000000ffffffff,00000
79,79,0,ffffffff00000000ffffffff,00000
80,80,0,ffffffff00000000ffffffff,00000
81,81,0,ffffffff00000000ffffffff,00000
82,82,0,000000000000000000000000,3ffff
83,83,0,000000000000000000000000,00000
84,84,0,ffffffff00000000ffffffff,00000
85,85,0,000000000000000000000000,00000
86,86,0,000000000000000000000000,00000
87,87,0,ffffffff00000000ffffffff,00000
88,88,0,000000000000000000000000,00000
89,89,0,000000000000000000000000,00000
90,90,0,ffffffff00000000ffffffff,00000
91,91,0,ffffffff00000000ffffffff,00000
92,92,0,ffffffff00000000ffffffff,00000
93,93,0,ffffffff00000000ffffffff,00000
94,94,0,000000000000000000000000,3ffff
95,95,0,000000000000000000000000,00000
96,96,0,ffffffff00000000ffffffff,00000
97,97,0,000000000000000000000000,00000
98,98,0,000000000000000000000000,00000
99,99,0,ffffffff00000000ffffffff,00000
100,100,0,000000000000000000000000,00000
101,101,0,000000000000000000000000,00000
102,102,0,ffffffff00000000ffffffff,00000
103,103,0,ffffffff00000000ffffffff,00000
104,104,0,ffffffff00000000ffffffff,00000
105,105,0,ffffffff00000000ffffffff,00000
106,106,0,000000000000000000000000,3ffff
107,107,0,000000000000000000000000,00000
108,108,0,ffffffff00000000ffffffff,00000
109,109,0,000000000000000000000000,00000
110,110,0,000000000000000000000000,00000
111,111,0,ffffffff00000000ffffffff,00000
112,112,0,000000000000000000000000,00000
113,113,0,000000000000000000000000,00000
114,114,0,ffffffff00000000ffffffff,00000
115,115,0,ffffffff00000000ffffffff,00000
116,116,0,ffffffff00000000ffffffff,00000
117,117,0,ffffffff00000000ffffffff,00000
118,118,0,000000000000000000000000,3ffff
119,119,0,000000000000000000000000,00000
120,120,0,ffffffff00000000ffffffff,00000
121,121,0,000000000000000000000000,00000
122,122,0,000000000000000000000000,00000
123,123,0,ffffffff00000000ffffffff,00000
124,124,0,000000000000000000000000,00000
125,125,0,000000000000000000000000,00000
126,126,0,ffffffff00000000ffffffff,00000
127,127,0,ffffffff00000000ffffffff,00000
128,128,0,ffffffff00000000ffffffff,00000
129,129,0,ffffffff00000000ffffffff,00000
130,130,0,000000000000000000000000,3ffff
131,131,0,000000000000000000000000,00000
132,132,0,ffffffff00000000ffffffff,00000
133,133,0,000000000000000000000000,00000
134,134,0,000000000000000000000000,00000
135,135,0,ffffffff00000000ffffffff,00000
136,136,0,000000000000000000000000,00000
137,137,0,000000000000000000000000,00000
138,138,0,ffffffff00000000ffffffff,00000
139,139,0,ffffffff00000000ffffffff,00000
140,140,0,ffffffff00000000ffffffff,00000
141,141,0,ffffffff00000000ffffffff,00000
142,142,0,000000000000000000000000,3ffff
143,143,0,000000000000000000000000,00000
144,144,0,ffffffff00000000ffffffff,00000
145,145,0,000000000000000000000000,00000
146,146,0,000000000000000000000000,00000
147,147,0,ffffffff00000000ffffffff,00000
148,148,0,000000000000000000000000,00000
149,149,0,000000000000000000000000,00000
150,150,0,ffffffff00000000ffffffff,00000
151,151,0,ffffffff00000000ffffffff,00000
152,152,0,ffffffff00000000ffffffff,00000
153,153,0,ffffffff00000000ffffffff,00000
154,154,0,ff0000000000000000000000,3ffff
155,155,0,000000000000000000000000,00000
156,156,0,ffffffff00000000ffffffff,00000
157,157,0,000000000000000000000000,00000
158,158,0,000000000000000000000000,00000
159,159,0,ffffffff00000000ffffffff,00000
160,160,0,000000000000000000000000,00000
161,161,0,000000000000000000000000,00000
162,162,0,ffffffff00000000ffffffff,00000
163,163,0,ffffffff00000000ffffffff,00000
164,164,0,ffffffff00000000ffffffff,00000
165,165,0,ffffffff00000000ffffffff,00000
166,166,0,ffffa0000000000000000000,3ffff
167,167,0,000000000000000000000000,00000
168,168,0,ffffffff00000000ffffffff,00000
169,169,0,000000000000000000000000,00000
170,170,0,000000000000000000000000,00000
171,171,0,ffffffff00000000ffffffff,00000
172,172,0,000000000000000000000000,00000
173,173,0,000000000000000000000000,00000
174,174,0,ffffffff00000000ffffffff,00000
175,175,0,ffffffff00000000ffffffff,00000
176,176,0,ffffffff00000000ffffffff,00000
177,177,0,ffffffff00000000ffffffff,00000
178,178,0,ffffffe00000000000000000,00000
179,179,0,000000000000000000000000,3ffff
180,180,0,ffffffff00000000ffffffff,00000
181,181,0,000000000000000000000000,00000
182,182,0,000000000000000000000000,00000
183,183,0,ffffffff00000000ffffffff,00000
184,184,0,000000000000000000000000,00000
185,185,0,000000000000000000000000,00000
186,186,0,ffffffff00000000ffffffff,00000
187,187,0,ffffffff00000000ffffffff,00000
188,188,0,ffffffff00000000ffffffff,00000
189,189,0,ffffffff00000000ffffffff,00000
190,190,0,ffffffffe000000000000000,00000
191,191,0,000000000000000000000000,3ffff
192,192,0,ffffffff00000000ffffffff,00000
