Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore_1[47:0],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore[447:48],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dout_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,ffffffffffe0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
1,1,0,ffffffffffe0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
2,2,0,ffffffffffe0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
3,3,0,ffffffffffe0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
4,4,0,ffffffffffe0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
5,5,0,fffffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
6,6,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
7,7,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
8,8,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
9,9,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
10,10,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
11,11,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
12,12,0,017ffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
13,13,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
14,14,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
15,15,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
16,16,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
17,17,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
18,18,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
19,19,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
20,20,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
21,21,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
22,22,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
23,23,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
24,24,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
25,25,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
26,26,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
27,27,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
28,28,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
29,29,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
30,30,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
31,31,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
32,32,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
33,33,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
